-0.947	-1.509	13.391
-1.003	-1.632	13.048
-1.066	-1.766	12.716
-1.136	-1.911	12.396
-1.213	-2.069	12.087
-1.299	-2.241	11.790
-1.393	-2.430	11.505
-1.497	-2.635	11.232
-1.611	-2.860	10.972
-1.736	-3.105	10.725
-1.873	-3.374	10.493
-2.023	-3.668	10.276
-2.187	-3.990	10.076
-2.368	-4.342	9.895
-2.565	-4.727	9.734
-2.781	-5.149	9.596
-3.018	-5.609	9.483
-3.277	-6.112	9.399
-3.561	-6.660	9.349
-3.871	-7.258	9.337
-4.209	-7.908	9.369
-4.579	-8.613	9.452
-4.982	-9.376	9.594
-5.422	-10.199	9.805
-5.900	-11.084	10.097
-6.418	-12.029	10.482
-6.979	-13.033	10.974
-7.584	-14.091	11.591
-8.235	-15.195	12.351
-8.931	-16.331	13.273
-9.671	-17.483	14.377
-10.452	-18.626	15.685
-11.270	-19.727	17.213
-12.115	-20.745	18.977
-12.978	-21.631	20.985
-13.844	-22.325	23.233
-14.692	-22.762	25.704
-15.499	-22.872	28.362
-16.236	-22.587	31.151
-16.871	-21.849	33.987
-17.369	-20.621	36.767
-17.694	-18.892	39.369
-17.814	-16.691	41.661
-17.702	-14.091	43.524
-17.341	-11.202	44.857
-16.727	-8.167	45.604
-15.871	-5.140	45.754
-14.798	-2.271	45.349
-13.545	0.319	44.476
-12.159	2.547	43.247
-10.688	4.376	41.784
-9.182	5.805	40.202
-7.683	6.867	38.597
-6.228	7.613	37.040
-4.844	8.100	35.578
-3.550	8.386	34.237
-2.356	8.523	33.027
-1.268	8.557	31.945
-0.286	8.521	30.985
0.595	8.444	30.134
1.380	8.347	29.381
2.077	8.245	28.712
2.693	8.147	28.118
3.239	8.063	27.588
3.721	7.995	27.113
4.149	7.949	26.688
4.529	7.923	26.306
4.868	7.921	25.963
5.173	7.941	25.656
5.450	7.983	25.383
5.703	8.046	25.141
5.938	8.128	24.930
6.157	8.229	24.747
6.364	8.347	24.594
6.562	8.480	24.470
6.754	8.627	24.373
6.941	8.786	24.306
7.126	8.955	24.268
7.309	9.131	24.259
7.491	9.313	24.279
7.673	9.499	24.330
7.856	9.685	24.410
8.039	9.870	24.520
8.222	10.052	24.659
8.405	10.226	24.828
8.587	10.390	25.025
8.767	10.542	25.250
8.945	10.677	25.501
9.118	10.794	25.776
9.286	10.889	26.073
9.446	10.959	26.389
9.597	11.002	26.720
9.738	11.014	27.063
9.865	10.995	27.414
9.978	10.943	27.768
10.075	10.857	28.119
10.153	10.736	28.463
10.211	10.582	28.794
10.248	10.395	29.107
10.263	10.178	29.396
10.255	9.932	29.657
10.222	9.663	29.885
10.166	9.374	30.075
10.087	9.069	30.226
9.985	8.754	30.335
9.862	8.433	30.400
9.719	8.112	30.421
9.559	7.796	30.399
9.382	7.488	30.333
9.193	7.195	30.227
8.993	6.918	30.082
8.786	6.662	29.902
8.573	6.428	29.690
8.359	6.219	29.449
8.145	6.035	29.184
7.934	5.879	28.897
7.728	5.749	28.593
7.530	5.645	28.275
7.342	5.568	27.946
7.164	5.516	27.609
7.000	5.489	27.268
6.849	5.486	26.925
6.712	5.504	26.583
6.591	5.544	26.244
6.487	5.605	25.909
6.399	5.684	25.582
6.327	5.782	25.264
6.273	5.897	24.956
6.235	6.029	24.660
6.215	6.177	24.378
6.211	6.341	24.112
6.224	6.519	23.863
6.253	6.711	23.632
6.299	6.917	23.422
6.361	7.136	23.233
6.438	7.368	23.067
6.531	7.612	22.927
6.639	7.867	22.812
6.762	8.133	22.726
6.899	8.408	22.670
7.050	8.692	22.646
7.214	8.982	22.655
7.391	9.278	22.699
7.580	9.577	22.779
7.780	9.877	22.898
7.989	10.175	23.055
8.208	10.469	23.254
8.434	10.754	23.493
8.666	11.026	23.773
8.902	11.282	24.095
9.140	11.517	24.457
9.378	11.726	24.857
9.613	11.903	25.294
9.842	12.044	25.764
10.062	12.144	26.262
10.270	12.197	26.783
10.463	12.200	27.322
10.637	12.149	27.870
10.788	12.042	28.419
10.913	11.876	28.960
11.009	11.652	29.484
11.074	11.373	29.981
11.104	11.040	30.440
11.097	10.658	30.854
11.053	10.235	31.214
10.971	9.777	31.513
10.852	9.294	31.746
